Model Year,Uphill or Downhill,Related to Intersection,Clock-form Direction of force,Day in Week,Race,Maneuver before collision,year,Number of lanes,Body Category,Alignment of Road,Curb Weight,Age,Traffic Conrtol Functioning,weight,Pre-event Location,Lighting Condition,Climate,Traffic Condition,Traffic Flow Situation,premovement before collision,month,Alcohol Present,Surface Type,Crash Type,height,Sex,Surface Condition,Speed Limit,Distracted in Driving
2001,2,2,10,6,1,2,2009,2,3,1,1500,34,0,64,1,1,1,0,0,1,6,0,2,4,168,2,1,40,1
2004,2,2,90,4,2,1,2009,2,1,1,2170,59,0,84,1,1,2,0,0,1,7,0,1,4,168,2,2,40,1
2009,1,2,350,5,1,2,2009,4,0,1,1550,27,2,48,1,1,1,1,1,1,7,0,1,4,155,2,1,64,1
2008,1,2,60,3,1,1,2009,3,0,1,1510,64,2,103,1,1,1,1,1,11,7,0,2,4,178,1,1,72,1
2000,1,2,60,6,1,1,2009,4,0,1,1070,83,2,68,1,1,1,1,0,11,7,0,2,4,152,2,1,72,1
2008,1,2,350,6,1,8,2009,4,1,1,1850,25,2,57,1,1,1,1,0,1,7,0,2,4,155,2,1,72,1
2003,2,2,190,4,1,1,2009,4,1,1,1480,56,0,103,1,1,1,0,0,5,7,0,2,1,173,1,1,64,1
2006,1,2,280,6,1,2,2009,2,0,1,1580,28,0,64,1,1,2,0,3,1,7,0,2,4,173,2,2,40,1
2003,1,2,0,5,1,3,2009,4,0,3,1460,47,2,79,1,1,1,1,1,14,7,0,2,1,173,1,1,64,2
2009,1,2,350,2,1,2,2009,4,0,1,1510,23,2,86,1,3,1,1,0,1,8,1,2,4,193,1,1,56,1
2004,4,2,180,5,1,1,2009,4,2,1,2640,46,2,84,1,3,1,1,0,3,8,0,2,1,178,1,1,64,1
2004,4,2,100,3,1,1,2009,2,0,3,1570,56,2,76,1,1,1,1,0,11,9,0,2,4,173,2,1,64,1
2000,4,2,350,6,2,2,2009,3,0,1,1550,41,2,84,1,1,1,1,0,1,9,0,2,4,163,2,1,64,1
2000,4,0,350,5,1,3,2009,2,0,1,1330,49,0,66,1,1,1,0,0,1,8,0,2,2,165,2,1,56,1
2008,4,2,10,1,1,1,2009,2,0,1,1240,16,0,54,2,1,1,0,0,10,9,0,2,2,163,2,1,56,1
2005,2,0,0,6,1,1,2009,2,2,2,1980,58,0,91,1,1,1,0,0,14,9,0,2,1,185,1,1,40,2
2001,1,2,80,6,1,1,2009,5,0,1,1520,82,2,64,1,1,1,1,1,11,8,0,2,4,152,2,1,72,1
2001,1,2,60,3,1,1,2009,2,0,1,1160,18,2,61,1,1,1,3,0,11,9,0,2,4,173,1,1,40,2
2005,2,2,300,4,1,1,2009,2,1,2,2010,16,2,59,1,1,1,2,0,11,9,0,2,4,165,2,1,40,2
2003,1,3,260,7,1,1,2009,2,0,1,1270,77,0,84,1,1,1,0,0,10,10,0,1,4,175,1,1,40,1
2007,1,2,10,4,1,2,2009,2,0,1,1350,60,0,84,1,1,1,0,2,1,10,0,1,4,157,2,1,64,1
2000,1,2,60,7,1,1,2009,4,0,3,1170,23,2,70,1,1,2,1,0,11,10,0,2,4,168,2,2,64,1
2008,1,2,350,7,5,3,2009,2,0,1,1300,37,2,66,1,1,2,1,0,1,10,0,2,4,160,2,2,64,1
2000,2,0,0,4,1,3,2009,2,0,2,1120,20,2,82,1,1,1,6,0,14,10,0,2,1,185,1,1,40,2
2007,1,2,290,3,1,3,2009,2,0,1,1510,59,0,107,1,1,1,0,0,1,10,0,2,4,175,1,1,56,1
2010,2,3,0,1,1,2,2009,2,0,1,1700,46,0,70,1,1,1,0,0,1,11,0,2,4,160,2,1,56,1
2000,4,1,350,4,1,3,2009,2,0,1,1060,27,2,91,1,1,1,1,1,1,11,0,1,4,180,1,1,56,1
